indicator_code,insee_code,year,value,source_file
business_creation_rate,75000,2012,13.83,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,75000,2017,12.14,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,75000,2022,14.94,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,77000,2012,17.87,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,77000,2017,13.98,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,77000,2022,21.21,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,78000,2012,16.53,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,78000,2017,14.19,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,78000,2022,19.84,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,91000,2012,17.43,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,91000,2017,13.97,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,91000,2022,21.38,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,92000,2012,17.13,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,92000,2017,14.9,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,92000,2022,18.92,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,93000,2012,19.17,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,93000,2017,17.03,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,93000,2022,22.24,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,94000,2012,18.52,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,94000,2017,16.01,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,94000,2022,22.11,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creation_rate,95000,2012,18.35,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2011]
business_creation_rate,95000,2017,15.15,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2015]
business_creation_rate,95000,2022,21.77,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=taux_crea_etab) [aligned_from=2021]
business_creations_count,75000,2012,51670.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,75000,2017,55283.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,75000,2022,89231.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,77000,2012,12093.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,77000,2017,11773.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,77000,2022,24673.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,78000,2012,13202.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,78000,2017,13782.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,78000,2022,26982.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,91000,2012,10793.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,91000,2017,10725.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,91000,2022,23499.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,92000,2012,19734.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,92000,2017,21108.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,92000,2022,37995.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,93000,2012,16077.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,93000,2017,18887.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,93000,2022,39854.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,94000,2012,13444.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,94000,2017,14431.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,94000,2022,29842.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,95000,2012,10655.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
